"infinitive","participle_II","translation","mistakes"
"ringen","hat gerungen","luchar, pelear",10
"rufen","hat gerufen","llamar, gritar",8
"saufen","hat gesoffen","beber",9
"saugen","hat gesogen","mamar, absorber, chupar, aspirar",7
"schaffen","hat geschafft","crear, trabajar, desarrollar, conseguir",9
"scheiden","hat/ist geschieden","separar, partir, divorciar, diferir",11
"scheinen","hat geschienen","brillar, parecer",6
"scheißen","hat geschissen","cagar",9
"schieben","hat geschoben","empujar, arrastrar",11
"schieben in","hat geschoben","meter en",11
"schießen","hat geschossen","disparar, tirar, lanzar",8
"schlafen","hat geschlafen","dormir",9
"schlagen","hat geschlagen","golpear, clavar, latir",10
"schleifen","hat/ist geschleift","afilar, lijar, pulir, rozar",9
"schließen","hat geschlossen","cerrar, terminar",6
"schlingen","hat geschlungen","tragar, zampar",11
"schlingen um","hat geschlungen","atar alrededor de",11
"sich schlingen um","hat geschlungen","trepar por",11
"schmeißen","hat geschmissen","tirar, lanzar, dejarm abandonar",11
"schmelzen","ist geschmolzen","fundirse, derretirse",11
"XXXX","XXXX","XXXX",1
"schneiden","hat geschnitten","cortar, partir",8
"schreiben","hat geschrieben","escribir",9
"schreien","hat geschrien","gritar",11
"schweigen","hat geschwiegen","callar",11
"schwellen","ist geschwollen","hincharse",11
"schwimmen","ist/hat geschwommen","nadar",8
"schwinden","ist geschwunden","disminuir",11
"schwingen","hat geschwungen","agitar",10
"schwören","hat geschworen","jurar",11
"sehen","hat gesehen","ver",11
"sein","ist gewesen","ser, estar",9
"senden","hat gesandt","enviar",8
"singen","hat gesungen","cantar",8
"sinken","ist gesunken","hundir",7
"sinnen","hat gesonnen","meditar",10
"sitzen","hat gesessen","estar sentado",9
"sollen","hat gesollt","deber (una norma)",5
"sorgen für","-","ocuparse de",1
"speien","hat gespien","escupir",9
"spielen","gespielt","jugar",1
"spinnen","hat gesponnen","hilar",8
"sprechen mit","-","hablar con",1
"sprechen","hat gesprochen","hablar",7
"sprießen","ist gesprossen","brotar",10
"springen","ist gesprungen","saltar",7
"stechen","hat gestochen","picar, pinchar",13
"stehen","hat gestanden","estar de pie",9
"stehlen","hat gestohlen","robar",9
"steigen","ist gestiegen","escalar, subir",10
"sterben","ist gestorben","morir",9
"stinken","hat gestunken","apestar",9
"stoßen","hat/ist gestoßen","empujar",12
"streichen","hat gestrichen","pintar, tachar",15
"streiten","hat gestritten","pelearse",10
"suchen","gesucht","buscar",1
"teilen mit","-","compartir con",1
"teilen","geteilt","partir, dividir",1
"tragen","hat getragen","llevar, vestir, sostener",8
"treffen mit","-","quedar con",1
"treffen","hat getroffen","encontrarse",8
"treiben","hat getrieben","practicar, accionar",7
"treten","hat/ist getreten","pisar, ir",8
"trinken","hat getrunken","beber",10
"tun","hat getan","hacer",4
"umziehen nach","-","mudarse a",1
"umziehen","-","cambiarse (ropa)",1
"verderben","hat/ist verdorben","estropearse",10
"vergessen","hat vergessen","olvidar",7
"verhalten","-","comportarse, portarse",2
"verlieben in","-","enamorarse de",1
"verlieren","hat verloren","perder",9
"vermuten","-","suponer, presumir, esperar",1
"vernetzen","-","unir, conectar",1
"verschwinden","ist verschwunden","desaparecer",9
"versunken in","-","abstraído en",1
"vertauschen für","-","cambiar por",1
"vertreiben aus","-","expulsar de",1
"verzeihen","hat verziehen","perdonar",13
"vorbereiten","hat vorbereitet","preparar",10
"sich vorbereiten auf","hat vorbereitet","prepararse para, aprestarse a",8
"wachsen","ist gewachsen","crecer",10
"wandeln","-","cambiar, convertir",1
"warten auf","-","esperar a",1
"waschen","hat gewaschen","lavar",7
"weben","hat gewoben","tejer",11
"wecken","-","despetar",1
"weichen","ist gewichen","ceder",14
"wenden","hat gewandt","girar",6
"werden","ist geworden","llegar a ser, transformarse",9
"werfen","hat geworfen","arrojar",8
"wiegen","hat gewogen","pesar",9
